table_name,relative_path,row_count,column_count,sha256,intended_evidence,derivation,source_files
causal_specificity_contrasts.csv,/mnt/data/jrsi_phase7_work/JRSI_MAJOR_REVISION_PHASE6_GATE7_PASSED_v1/results/result_freeze/figure_sources/causal_specificity_contrasts.csv,6,14,d825e7f63b65b26d25efb8f58c88ae16550277bfb51931357e1d859f4bc3a442,Six prespecified paired causal-specificity contrasts,Exact copy with source provenance,results/phase5_causal_specificity/gate5_paired_contrasts.csv
causal_specificity_seed_blocks.csv,/mnt/data/jrsi_phase7_work/JRSI_MAJOR_REVISION_PHASE6_GATE7_PASSED_v1/results/result_freeze/figure_sources/causal_specificity_seed_blocks.csv,240,4,34af9be570d21034729692110a9fa5678f1d4768bfba66d8eaa6f4b0f6a255b8,Matched seed-block value-of-information distributions for causal controls,Deterministic wide-to-long reshape,results/phase5_causal_specificity/gate5_seed_block_metrics.csv
core_frontier_points.csv,/mnt/data/jrsi_phase7_work/JRSI_MAJOR_REVISION_PHASE6_GATE7_PASSED_v1/results/result_freeze/figure_sources/core_frontier_points.csv,13600,16,d301e23271ca087481fbfa1f3d8b4d909f58f0f78194667cc258e0f10bc7a251,Discrete monotone information-viability frontiers for raw replicate display,Exact copy with source provenance,results/phase4_core/replicate_frontiers.csv
core_inference_records.csv,/mnt/data/jrsi_phase7_work/JRSI_MAJOR_REVISION_PHASE6_GATE7_PASSED_v1/results/result_freeze/figure_sources/core_inference_records.csv,130,27,0bc30784704e210ad2da076c344b1a244bfbe3b1415b1ab3a84c5b7f454a16e5,"Core confidence intervals, replicate-level tests, and target-reaching fractions",Row-wise union with record_type; values unchanged,results/phase4_core/replicate_level_permutation_results.csv; results/phase4_core/block_bootstrap_intervals.csv; results/phase4_core/target_reach_counts.csv
core_information_replicates.csv,/mnt/data/jrsi_phase7_work/JRSI_MAJOR_REVISION_PHASE6_GATE7_PASSED_v1/results/result_freeze/figure_sources/core_information_replicates.csv,400,12,4c4f9810188d206884cdb9aff95c7b5e1fcfa2da3adc79c83e878ba68b13b7a8,Corrected information hierarchy across fidelity and regimes,Exact selected columns; no aggregation,results/phase4_core/baseline_information.csv
core_semantic_replicates.csv,/mnt/data/jrsi_phase7_work/JRSI_MAJOR_REVISION_PHASE6_GATE7_PASSED_v1/results/result_freeze/figure_sources/core_semantic_replicates.csv,400,23,d8096c9e04f657337485dd2e1ffced4d04412ed2150c1319c52095e6f7c9bc69,"Replicate-specific value of information, semantic estimates, targets, and censoring",Exact copy with source provenance,results/phase4_core/replicate_frontier_summary.csv
generality_confirmatory_replicates.csv,/mnt/data/jrsi_phase7_work/JRSI_MAJOR_REVISION_PHASE6_GATE7_PASSED_v1/results/result_freeze/figure_sources/generality_confirmatory_replicates.csv,24,23,0c5f967225f319ad7b9b371e045b39dce9f41303ac4cfc35368ca30187cf40c6,Full semantic confirmation for nondefault representatives,Exact copy with source provenance,results/phase6_generality/stage_d_replicate_summary.csv
generality_confirmatory_summary.csv,/mnt/data/jrsi_phase7_work/JRSI_MAJOR_REVISION_PHASE6_GATE7_PASSED_v1/results/result_freeze/figure_sources/generality_confirmatory_summary.csv,3,9,4c3fa39d27e2239fb481306894e4b8c5d5b7a64102ea6f158d87d2b18f870bef,Confirmatory value-of-information intervals and positivity decisions,Exact copy with source provenance,results/phase6_generality/stage_d_summary.csv
generality_protocol_summary.csv,/mnt/data/jrsi_phase7_work/JRSI_MAJOR_REVISION_PHASE6_GATE7_PASSED_v1/results/result_freeze/figure_sources/generality_protocol_summary.csv,12,20,fd74eac9a6b2c2c45fb0381029772e96992ba48e46a74e38c892d16abbc9286c,Duration and intervention-horizon sensitivity,Exact copy with source provenance,results/phase6_generality/stage_c_protocol_summary.csv
generality_screen_replicates.csv,/mnt/data/jrsi_phase7_work/JRSI_MAJOR_REVISION_PHASE6_GATE7_PASSED_v1/results/result_freeze/figure_sources/generality_screen_replicates.csv,244,15,7fa270f81c45c52103338c363b430c9aea99d76aea31d21da9dff9372e2569b4,"Raw independent replicate data for focused, global, and structural robustness",Exact row union with stage-specific source provenance,results/phase6_generality/stage_a_replicates.csv; results/phase6_generality/stage_b1_replicates.csv; results/phase6_generality/stage_b2_replicates.csv
generality_screen_summary.csv,/mnt/data/jrsi_phase7_work/JRSI_MAJOR_REVISION_PHASE6_GATE7_PASSED_v1/results/result_freeze/figure_sources/generality_screen_summary.csv,65,20,b1bc2824bbbe25109f7a8fde34ac8165a032785d91a22514b9b5203c8356c1e1,Regime map and structural-family summaries with bootstrap intervals,Exact copy with source provenance,results/phase6_generality/stage_ab_summary.csv
