check_id,phase,category,passed,expected,observed,tolerance,source_files
phase4_archive_integrity,phase4,archive,True,"""all manifested files exist and match""","{""matches"": 1215, ""n"": 1215}",exact,results/phase4_core/FILE_MANIFEST_SHA256.csv
phase4_manifest_coverage,phase4,archive,True,0,0,exact,results/phase4_core
p4_target_censoring_records,phase4,censoring,True,"""stored target table""","""all values match""",exact,results/phase4_core/replicate_frontier_summary.csv; results/phase4_core/target_reach_counts.csv
p4_identity_endpoints,phase4,endpoint,True,true,true,exact,results/phase4_core/replicate_frontier_summary.csv
gate4_primary_records,phase4,gate,True,"{""corrected_information_observed_difference_selective_minus_control"": 0.2534182739942556, ""corrected_information_p_value"": 0.0001, ""status"": ""PASSED"", ""value_of_information_observed_difference_selective_minus_control"": 11.907186414930555, ""value_of_information_p_value"": 0.0001}","{""corrected_information_observed_difference_selective_minus_control"": 0.2534182739942556, ""corrected_information_p_value"": 0.0001, ""status"": ""PASSED"", ""value_of_information_observed_difference_selective_minus_control"": 11.907186414930555, ""value_of_information_p_value"": 0.0001}",exact,results/phase4_core/GATE_4_DECISION.json; validation/result_freeze/phase4_permutation_results_recomputed.csv
p4_bootstrap_intervals,phase4,inference,True,"""80 stored intervals""","""all values match""",exact,results/phase4_core/block_bootstrap_draws.csv; results/phase4_core/block_bootstrap_intervals.csv
p4_permutation_inference,phase4,inference,True,"""30 stored tests""","""all values match""",exact,results/phase4_core/baseline_information.csv; results/phase4_core/replicate_frontier_summary.csv; results/phase4_core/replicate_level_permutation_results.csv
p4_baseline_count,phase4,structure,True,400,400,exact,results/phase4_core/baseline_information.csv
p4_continuation_count,phase4,structure,True,28000,28000,exact,results/phase4_core/continuation_level_results.csv
p4_nested_continuations,phase4,structure,True,70,"{""70"": 400}",exact,results/phase4_core/continuation_level_results.csv; results/phase4_core/maps/grouping_map_manifest.csv
phase5_archive_integrity,phase5,archive,True,"""all manifested files exist and match""","{""matches"": 818, ""n"": 818}",exact,results/phase5_causal_specificity/FILE_MANIFEST_SHA256.csv
phase5_manifest_coverage,phase5,archive,True,0,0,exact,results/phase5_causal_specificity
p5_target_censoring_records,phase5,censoring,True,"""stored target/censoring table""","""all values match""",exact,results/phase5_causal_specificity/realization_frontier_summary.csv; results/phase5_causal_specificity/target_reach_and_censoring.csv
p5_identity_endpoints,phase5,endpoint,True,true,true,exact,results/phase5_causal_specificity/realization_frontier_summary.csv
gate5_primary_records,phase5,gate,True,"{""identity"": true, ""n_passed"": 6, ""n_seed_blocks"": 20}","{""identity"": true, ""n_passed"": 6, ""n_seed_blocks"": 20, ""stored_status"": ""PASSED""}",exact,results/phase5_causal_specificity/GATE_5_DECISION.json; validation/result_freeze/phase5_paired_contrasts_recomputed.csv
p5_paired_bootstrap_draws,phase5,inference,True,"""12000 stored draws""","""all values match""",exact,results/phase5_causal_specificity/gate5_paired_bootstrap_draws.csv
p5_paired_contrasts,phase5,inference,True,"""six stored paired contrasts""","""all values match""",exact,results/phase5_causal_specificity/gate5_seed_block_metrics.csv; results/phase5_causal_specificity/gate5_paired_contrasts.csv
p5_seed_block_aggregation,phase5,inference,True,"""stored seed-block aggregation""","""all values match""",exact,results/phase5_causal_specificity/realization_frontier_summary.csv; results/phase5_causal_specificity/evaluation_specifications.json; results/phase5_causal_specificity/seed_block_control_summary.csv
p5_continuation_count,phase5,structure,True,15400,15400,exact,results/phase5_causal_specificity/continuation_level_results.csv
p5_nested_continuations,phase5,structure,True,2,"{""2"": 7700}",exact,results/phase5_causal_specificity/continuation_level_results.csv
phase6_archive_integrity,phase6,archive,True,"""all manifested files exist and match""","{""matches"": 71, ""n"": 71}",exact,results/phase6_generality/FILE_MANIFEST_SHA256.csv
phase6_manifest_coverage,phase6,archive,True,0,0,exact,results/phase6_generality
p6_target_censoring_records,phase6,censoring,True,"{""reached"": 24, ""right_censored"": 0}","{""reached"": 24, ""right_censored"": 0}",exact,results/phase6_generality/stage_d_replicate_summary.csv
p6_identity_endpoints,phase6,endpoint,True,true,"{""information"": 24, ""n"": 24, ""viability"": 24}",exact,results/phase6_generality/stage_d_replicate_summary.csv
gate7_primary_records,phase6,gate,True,"{""broad"": true, ""default_archived_confirmed"": true, ""identity_exact"": true, ""nondefault_confirmed"": 2, ""stage_a_positive_fraction"": 0.71875, ""stage_b1_positive_fraction"": 0.375, ""structural_family_support"": {""fitness"": true, ""metabolite"": true, ""position"": true, ""window"": true}}","{""broad"": true, ""default_archived_confirmed"": true, ""identity_exact"": true, ""nondefault_confirmed"": 2, ""stage_a_positive_fraction"": 0.71875, ""stage_b1_positive_fraction"": 0.375, ""status"": ""PASSED"", ""structural_family_support"": {""fitness"": true, ""metabolite"": true, ""position"": true, ""window"": true}}",exact,results/phase6_generality/GATE_7_DECISION.json; validation/result_freeze/phase6_stage_ab_summary_recomputed.csv; validation/result_freeze/phase6_stage_d_summary_recomputed.csv
p6_stage_ab_inference,phase6,inference,True,"""65 stored design summaries""","""all values match""",exact,results/phase6_generality/stage_a_replicates.csv; results/phase6_generality/stage_b1_replicates.csv; results/phase6_generality/stage_b2_replicates.csv; results/phase6_generality/stage_ab_summary.csv
p6_stage_c_inference,phase6,inference,True,"""12 stored protocol summaries""","""all values match""",exact,results/phase6_generality/stage_c_replicates.csv; results/phase6_generality/stage_c_protocol_summary.csv
p6_stage_d_inference,phase6,inference,True,"""three stored confirmatory summaries""","""all values match""",exact,results/phase6_generality/stage_d_replicate_summary.csv; results/phase6_generality/stage_d_summary.csv
